global_id,FrameName,LexicalUnits,FrameElements,Link ,Definition,LinkToBFN,MatchEvaluation,FrameRelation            
2,Abounding_with,,"Location 
Theme",https://sfn.spanishfn.org/FRAMES/frames/Abounding_with.html,"A Location is filled or covered with the Theme.  The Location is realized as the External Argument, and the Theme either as PP complement headed by with, in or of.


NB:  This frame does not include uses of adjectives like paved when they merely specify the Type of some location, as in ""paved and unpaved roads"".",Abounding_with,ExactMatch,"Abounding_with :Inherits From: Locative_relation
 Abounding_with :Is Used By: Expensiveness
 Abounding_with :See Also: Adorning"
15,Achieving_first,"descubridor.n, descubrimiento.n, descubrir.v, inventar.v, invento_(entity).n, invento_(event).n, inventor.n","Cognizer 
New_idea",https://sfn.spanishfn.org/FRAMES/frames/Achieving_first.html,A Cognizer introduces a New_idea into society. In this frame the fact that the idea is new to society is emphasized.,Achieving_first,ExactMatch,"Achieving_first :Inherits From: Intentionally_create
 Achieving_first :Uses: First_experience "
17,Activity,,"Activity 
Agent ",https://sfn.spanishfn.org/FRAMES/frames/Activity.html,"This is an abstract frame for durative activities, in which the Agent enters an ongoing state of the Activity, remains in this state for some Duration of Time, and leaves this state either by finishing or by stopping.   The Agent's Activity should be intentional.
 
This frame is intended mostly for the inheritance of common FEs, and to provide the frame structure for the beginning, ongoing, finish, or stop stage of an Activity, each of which constitutes a subframe of this frame. This frame should be compared to the Process frame.",Activity,ExactMatch,"Activity :Inherits From: Process
 Activity :Has Subframes: Activity_abandoned_state
Activity :Has Subframes: Activity_ongoing
Activity :Has Subframes: Activity_pause
Activity :Has Subframes: Activity_paused_state
Activity :Has Subframes: Activity_prepare
Activity :Has Subframes: Activity_ready_state
Activity :Has Subframes: Activity_resume
Activity :Has Subframes: Activity_start
Activity :Has Subframes: Activity_stop"
18,Activity_abandoned_state,,"Activity 
Agent ",https://sfn.spanishfn.org/FRAMES/frames/Activity_abandoned_state.html,An Agent is in an unfinished part of an activity.,Activity_abandoned_state,ExactMatch,"Activity_abandoned_state :Inherits From: Process_uncompleted_state
 Activity_abandoned_state :Subframe of: Activity
 Activity_abandoned_state :Is Preceded by: Activity_stop
 Activity_abandoned_state :Uses: Process_stopped_state"
22,Activity_ongoing,,"Activity 
Agent ",https://sfn.spanishfn.org/FRAMES/frames/Activity_ongoing.html,An Agent is performing the portion of an Activity in which there is dynamic stability.,Activity_ongoing,ExactMatch,"
Activity_ongoing :Inherits From: Process_continue
 Activity_ongoing :Subframe of: Activity
 Activity_ongoing :Precedes: Activity_pause
Activity_ongoing :Precedes: Activity_stop
 Activity_ongoing :Is Preceded by: Activity_resume
Activity_ongoing :Is Preceded by: Activity_start
 Activity_ongoing :Is Used By: Cause_to_move_in_place"
23,Activity_pause,,"Activity 
Agent ",https://sfn.spanishfn.org/FRAMES/frames/Activity_pause.html,An Agent pauses in the course of an Activity.,Activity_pause,ExactMatch,"Activity_pause :Inherits From: Process_pause
 Activity_pause :Subframe of: Activity
 Activity_pause :Precedes: Activity_paused_state
 Activity_pause :Is Preceded by: Activity_ongoing
 Activity_pause :Uses: Eventive_affecting"
24,Activity_paused_state,,"Activity 
Agent ",https://sfn.spanishfn.org/FRAMES/frames/Activity_paused_state.html,"An Agent remains in a particular stage of an Activity, without progressing in the activity.",Activity_pause,ExactMatch,"Activity_pause :Inherits From: Process_pause
 Activity_pause :Subframe of: Activity
 Activity_pause :Precedes: Activity_paused_state
 Activity_pause :Is Preceded by: Activity_ongoing
 Activity_pause :Uses: Eventive_affecting"
25,Activity_prepare,,"Activity 
Agent ",https://sfn.spanishfn.org/FRAMES/frames/Activity_prepare.html,An Agent prepares for an Activity.,Activity_prepare,ExactMatch,"Activity_prepare :Subframe of: Activity
 Activity_prepare :Precedes: Activity_ready_state
 Activity_prepare :Uses: Eventive_affecting"
26,Activity_ready_state,,"Activity 
Protagonist 
Salient_entity
",https://sfn.spanishfn.org/FRAMES/frames/Activity_ready_state.html,"The Protagonist is in an initial state, before beginning to be involved in the Activity, but all pre-conditions for performance of the Activity have been satisfied.  In many cases, the Protagonist is an intentional agent, but there are other uses in which the agent is deprofiled, and the Protagonist is an entity which is essential to the Activity.  
Alternatively, the Activity may be indicated by a Salient_entity which stands in for the Activity.  This Salient_entity may also be an intentional agent, but need not be.",Activity_ready_state,ExactMatch,"Activity_ready_state :Inherits From: Process_initial_state
 Activity_ready_state :Subframe of: Activity
 Activity_ready_state :Precedes: Activity_start
 Activity_ready_state :Is Preceded by: Activity_prepare"
27,Activity_resume,,"Activity 
Agent ",https://sfn.spanishfn.org/FRAMES/frames/Activity_resume.html,An Agent resumes participation in an Activity. Progress on the Activity is retained from before the interruption.,Activity_resume,ExactMatch,"Activity_resume :Inherits From: Process_resume
 Activity_resume :Subframe of: Activity
 Activity_resume :Precedes: Activity_ongoing
 Activity_resume :Is Preceded by: Activity_paused_state"
29,Activity_start,,"Activity 
Agent ",https://sfn.spanishfn.org/FRAMES/frames/Activity_start.html,An Agent initiates the beginning of an ongoing Activity in which he will be continuously involved.,Activity_start,ExactMatch,"Activity_start :Inherits From: Process_start
 Activity_start :Subframe of: Activity
 Activity_start :Precedes: Activity_ongoing
 Activity_start :Is Preceded by: Activity_ready_state
 Activity_start :Uses: Eventive_affecting"
30,Activity_stop,,"Activity 
Agent ",https://sfn.spanishfn.org/FRAMES/frames/Activity_stop.html,An Agent ceases an Activity without completing it.,Activity_stop,ExactMatch,"Activity_stop :Inherits From: Process_stop
 Activity_stop :Is Inherited By: Halt
 Activity_stop :Subframe of: Activity
 Activity_stop :Precedes: Activity_abandoned_state, Activity_paused_state
 Activity_stop :Is Preceded by: Activity_ongoing
 Activity_stop :Uses: Eventive_affecting"
42,Adorning,"abarrotar.v, adornar.v, atestar.v, cubrir.v, decorar.v, envolver.v, impregnar.v
","Location
Theme ",https://sfn.spanishfn.org/FRAMES/frames/Adorning.html,"This frame involves a static (primarily spatial) relationship between a Location and a Theme. All of the verbs used statically in this frame can also occur in the frame Filling, producing pairs such as the following:",?,,Adorning :Inherits From: Locative_relation
55,Altered_phase,"condensado.a, congelado.a, derretido.a, descongelado.a, fundido.a, helado.a, licuado.a, solidificado.a",Undergoer,https://sfn.spanishfn.org/FRAMES/frames/Altered_phase.html,In this frame an Undergoer is in a phase brought about after a change of phase.  This can be its inherent phase or indicate that it is returned to its inherent state.,?,,"Altered_phase :Subframe of: Change_of_phase_scenario
 Altered_phase :Is Preceded by: Change_of_phase"
71,Appearance,"apestar.v, oler.v, parecer.v, parecerse.v, saber.v, sonar.v","Appraisal
Characterization 
Inference
Phenomenon ",https://sfn.spanishfn.org/FRAMES/frames/Appearance.html,"In this class of perception words, a Phenomenon, typically expressed as External Argument, and its perceptual characteristics are given some description.  This may be a Characterization describing purely perceptual properties, an Appraisal (i.e. positive or negative judgment) or an Inference about some non-perceptual property based on the Perceiver_passive's perception.",?,,Appearance :Inherits From: Perception
88,Arriving,"acercarse.v, acudir.v, adentrarse.v, aproximarse.v, arrimarse.v, avanzar.v, encaminarse.v, entrar.v, inmigrar.v, irrumpir.v, llegada.n, llegar.v, peregrinar.v, replegarse.v, venir.v",Goal Theme,https://sfn.spanishfn.org/FRAMES/frames/Arriving.html,"A Theme, a living being or an object, moves in the direction of a Goal. The Goal may be expressed or it may be understood from context, but the existence of a Goal is always implied by the motion predicate itself.",Arriving,ExactMatch,"Arriving :Is Inherited By: Visiting_scenario_arrival
Arriving :Is Inherited By: Visitor_arrival
 Arriving :Subframe of: Traversing
 Arriving :Is Preceded by: Departing"
90,Artifact,,"
Artifact",https://sfn.spanishfn.org/FRAMES/frames/Artifact.html,"An Artifact is deliberately made or modified by an intelligent entity to be put to a certain kind of Use.  Various properties of the Artifact may be specified, such as its Creator, Time_of_creation, Name, Type, and the Material of which it is composed.  The Artifact may or may not be a physical entity.",Artifact,ExactMatch,"Artifact :Inherits From: Entity
 Artifact :Is Inherited By: Weapon
 Artifact :Uses: Using"
95,Assessing,"calibrar.v, evaluación.n, evaluar.v, sopesar.v, valoración.n, valorar.v
","Assessor
Feature 
Medium 
Method 
Phenomenon",https://sfn.spanishfn.org/FRAMES/frames/Assessing.html,"An Assessor examines a Phenomenon to figure out its Value according to some Feature of the Phenomenon.  This Value is a factor in determining the acceptability of the Phenomenon.  In some cases, a Method (implicitly involving an Assessor) is used to determine the Phenomenon's Value.",Assessing,ExactMatch,Assessing :Inherits From: Cogitation
104,Attaching,"amarrar.v, atar.v, coser.v, empalmar.v, encadenar.v, encolar.v, enganchar.v, grapar.v, hilvanar.v, pegar.v, soldar.v
","Agent
Connector 
Goal 
Item 
Items",https://sfn.spanishfn.org/FRAMES/frames/Attaching.html,"The Attaching frame covers two situations: a scene in
which somebody causes one thing to be physically connected to
something else; or a scene in which somebody causes two things to be
connected to each other.  In the first, the frame includes an
Agent who attaches an Item to a Goal by
manipulating a Connector, creating an asymmetric relationship
between the Item and the Goal.  In the second, the
Agent attaches two Items to each other, where each
serves as a Goal for the other, creating a symmetric
relationship between the two Items. In both cases, the 
Connector remains to bind the two entities (either
Item and Goal, or two Items), without
creating a new entity.",Attaching,ExactMatch,"Attaching :Inherits From: Intentionally_affect
 Attaching :Is Causative of: Inchoative_attaching"
106,Attempt,"cejar.v, esforzarse.v, esfuerzo.n, intentar.v, intento.n, procurar.v, tratar.v
",Agent Goal,https://sfn.spanishfn.org/FRAMES/frames/Attempt.html,An Agent attempts to achieve a Goal. The Outcome may also be mentioned explicitly.,Attempt,ExactMatch,"Attempt :Is Inherited By: Attempt_suasion
 Attempt :Subframe of: Attempting_scenario
 Attempt :Precedes: Success_or_failure"
108,Attempt_distant_interaction_scenario,,"
Agent 
Instrument
Target 
Target_location ",https://sfn.spanishfn.org/FRAMES/frames/Attempt_distant_interaction_scenario.html,"An Agent attempts to interact with a relatively distant or indirectly accessible Target using some Instrument (which may be a body part, e.g. hand).  The Agent's ability to manipulate the Instrument and put it in the Target location is in question.  The most common types of distant interaction involve an Agent attempting to move the Instrument ballistically so that it contacts the Target (e.g. Shooting_scenario), or an Agent attempting to direct an Instrument that enables perception at a Target_location to be examined.",Attempt_distant_interaction_scenario,ExactMatch,"Attempt_distant_interaction_scenario :Inherits From: Attempting_scenario
 Attempt_distant_interaction_scenario :Is Inherited By: Shooting_scenario
 Attempt_distant_interaction_scenario :Uses: Manipulation"
112,Attempt_suasion,"aconsejar.v, animar.v, asesorar.v, exhortar.v, incitar.v, instar.v, recomendar.v, rogar.v, suplicar.v
","Addressee
Content ",https://sfn.spanishfn.org/FRAMES/frames/Attempt_suasion.html,"The Speaker expresses through language his wish to get the Addressee to act.  There is no implication that the Addressee forms an intention to act, let alone acts.",Attempt_suasion,ExactMatch,"Attempt_suasion :Inherits From: Attempt
 Attempt_suasion :Uses: Communication
Attempt_suasion :Uses: Influence_of_event_on_cognizer
 Attempt_suasion :Is Used By: Suasion"
114,Attempting_scenario,,Agent Goal,https://sfn.spanishfn.org/FRAMES/frames/Attempting_scenario.html,"An Agent has a particular Goal in mind, and then uses some Means that they believe will bring about the Goal.  The Agent succeeds or fails inasmuch as the result of the Means action matches the Goal.",?,,"Attempting_scenario :Is Inherited By: Attempt_distant_interaction_scenario
 Attempting_scenario :Has Subframes: Attempt
Attempting_scenario :Has Subframes: Success_or_failure"
117,Attention,,"Expressor 
Figure 
Perceiver",https://sfn.spanishfn.org/FRAMES/frames/Attention.html,"This frame concerns a Perceiver's state of readiness to process and consider impressions of a Figure within a Ground.  It is often unknown to the Perceiver whether or not the Figure exists within the Ground. Alternatively, the Expressor may be expressed as showing signs of the Perceiver's state of attentiveness.",Attention,ExactMatch,"
Attention :Inherits From: State
 Attention :Is Used By: Perception_active
Attention :Is Used By: Searching_scenario"
126,Awareness,"conciencia.n, consciente.a, creencia.n, creer.v, ignorancia.n, ignorar.v, imaginarse.v, pensar.v, saber.v, sospecha.n, sospechar.v, suponer.v, tener_conocimiento.v
","
Cognizer 
Content 
Topic",https://sfn.spanishfn.org/FRAMES/frames/Awareness.html,"A Cognizer has a piece of Content in his model of the world. The Content is not necessarily present due to immediate perception, but usually, rather, due to deduction from perceivables. In some cases, the deduction of the Content is implicitly based on confidence in sources of information (creer 'believe'), in some cases based on logic (pensar 'think'), and in other cases the source of the deduction is deprofiled (saber 'know'). 


The Awareness frame should not be confused with the Opinion frame. The latter indicates that the Cognizer considers something as true, but the Opinion FE (compare to Content) is not presupposed to be true; rather it is something that is considered a potential point of difference. In the lexical units that are in the Awareness frame, however, the Content is presupposed.",Awareness,ExactMatch,
134,Be_in_agreement_on_action,"acuerdo.n, convenio.n, pacto.n, tratado.n, trato.n
","Obligation
Parties
Party_1 
Party_2 
Topic ",https://sfn.spanishfn.org/FRAMES/frames/Be_in_agreement_on_action.html,"Two (or more) people (the Parties, also encodable as Party_1 and
Party_2) have an agreement. Both sides are construed as having
a commitment to an Obligation--the relationship is understood to be symmetrical or
reciprocal. Instead of a specific mention of the Obligation, a Topic expression may be used to indicate the domain covered.",Be_in_agreement_on_action,ExactMatch,
139,Bearing_arms,,"Protagonist 
Weapon ",https://sfn.spanishfn.org/FRAMES/frames/Bearing_arms.html,A Protagonist has (or does not have) a Weapon.  The Degree to which the Protagonist is armed may also be described.  The Protagonist is normally a human but may be a device that has subsidiary weapons.,Bearing_arms,ExactMatch,
142,Become_different,,"Differentiating_fact 
Entities
Entity_1 
Entity_2 ",https://sfn.spanishfn.org/FRAMES/frames/Become_different.html,"Two or more similar entities, which may be concrete or abstract objects or types, become different and end up being two different entities. Depending on figure/ground relations, the entities may be expressed in two distinct frame elements and constituents, Entity_1 and Entity_2, or jointly as a single frame element and constituent, Entities. The differences may be based on appearance, physical properties, or other characteristics of the two entities. However, no such Dimension has to be specified explicitly. The Entities may be like each other to a greater or lesser Degree. Notice that, although becoming different presupposes the notion of a judge who assesses similarity, that judge is not part of the frame of Becoming_different, because it is totally deprofiled.",?,,
144,Becoming,"convertirse.v, ponerse.v, volverse.v
","Entity 
Final_category 
Final_state ",https://sfn.spanishfn.org/FRAMES/frames/Becoming.html,An Entity ends up in a Final_state or Final_category which it was not in before.,Becoming,ExactMatch,
148,Becoming_aware,"advertir.v, darse_cuenta.v, detectar.v, encontrar.v, encontrarse.v, enterarse.v, notar.v, observar.v, percatarse.v, persuadirse.v, reconocer.v, reparar.v
","Cognizer 
Phenomenon 
Topic ",https://sfn.spanishfn.org/FRAMES/frames/Becoming_aware.html,"Words in this frame have to do with a Cognizer, usually a person, becoming aware of some Phenomenon without a process of reasoning. Predicates in this frame are similar to Coming_to_believe words, except the latter generally involve reasoning from Evidence.


The words in this frame take direct objects that denote entities in the world, and indicate awareness of those entities, without necessarily giving any information about the content of the Cognizer's belief or knowledge. These words also resemble perception words, since creatures often become aware of things by perceiving them.",Becoming_aware,ExactMatch,
155,Becoming_wet,"empaparse.v, mojarse.v
","Liquid 
Undergoer ",https://sfn.spanishfn.org/FRAMES/frames/Becoming_wet.html,An Undergoer ends up in a state of wetness with the possibility of the Liquid that causes the wetness being mentioned. The predicates in this frame have an inchoative meaning. Thus the agent that causes the Undergoer to be wet is deprofiled.,?,,
158,Being_at_risk,"a_salvo.a, correr_un_peligro.v, correr_un_riesgo.v, en_peligro.a, peligrar.v, seguro.a
","Asset 
Dangerous_entity 
Harmful_event ",https://sfn.spanishfn.org/FRAMES/frames/Being_at_risk.html,"An Asset is in a state where it is exposed to or otherwise liable to be affected by a Harmful_event, which may be metonymically evoked by reference to a Dangerous_entity. Words expressing relative safety (i.e., lack of risk) are also in this frame.",Being_at_risk,ExactMatch,
170,Being_in_category,"constituir.v, equivalencia.n, equivalente.a, equivaler.v
","Category 
Criteria 
Item",https://sfn.spanishfn.org/FRAMES/frames/Being_in_category.html,"An Item belongs to a Category, as (often implicitly) conceived of by a Cognizer.",Being_in_category,ExactMatch,
175,Being_included,,"Part 
Whole ",https://sfn.spanishfn.org/FRAMES/frames/Being_included.html,"A Part is profiled as being a subset or constituent subpart of a Whole. This is in contrast to Inclusion frame, wherein the same relation is seen from the point of view of the Whole.",Being_included,ExactMatch,
176,Being_influenced,"inspirarse.v
","Action 
Cognizer 
Entity
Situation",https://sfn.spanishfn.org/FRAMES/frames/Being_influenced.html,A Cognizer is influenced by a Situation or an Entity. The influence on the Cognizer may be manifested in the Cognizer's engaging in an Action as a consequence of being influenced. A Product may be specified whose production or design was influenced by the Cognizer's experience of the Situation or Entity.,?,,
179,Being_necessary,,"Dependent 
Required_entity 
Requirement ",https://sfn.spanishfn.org/FRAMES/frames/Being_necessary.html,A Dependent state-of-affairs has a Requirement as a prerequisite for obtaining or occurring.,Being_necessary,ExactMatch,
180,Being_obligated,"compromiso.n, deber.n, deber.v, obligación.n, obligado.a, responsabilidad.n, tener_que.v
","Duty 
Responsible_party 
",https://sfn.spanishfn.org/FRAMES/frames/Being_obligated.html,"Under some Condition, usually left implicit, a Responsible_party is required to perform some Duty.  If they do not perform the Duty, there may be some undesirable Consequence, which may or may not be stated overtly.


NB:  Contrast this frame with Likelihood and Preconditions frames, which involve many of the same lemmas.",Being_obligated,ExactMatch,
181,Being_obligatory,"forzoso.a, incumbencia.n, incumbir.v, obligado.a, obligatorio.a, preceptivo.a
","Duty 
Responsible_party
",https://sfn.spanishfn.org/FRAMES/frames/Being_obligatory.html,"Under some Condition, usually left implicit, a Duty needs to be fulfilled by a 
Responsible_party. If the Duty is not performed, there may be some undesirable Consequence for the Responsible_party, which may or may not be stated overtly.
Compare this frame to the Being_obligated frame.",Being_obligatory,ExactMatch,
189,Being_wet,"empapado.a, húmedo.a, impregnado.a, mojado.a, sudado.a
","Item 
Liquid",https://sfn.spanishfn.org/FRAMES/frames/Being_wet.html,"An Item is in a state of wetness with the possibility of the wetting Liquid being mentioned, along with the Degree of wetness.",Being_wet,ExactMatch,
208,Body_movement,"abrir.v, agachar.v, agitar.v, cerrar.v, cojear.v, contonear.v, contonearse.v, parpadear.v, pestañear.v, renquear.v, sacudir.v
","Agent 
Body_part",https://sfn.spanishfn.org/FRAMES/frames/Body_movement.html,"This frame contains predicates for motions or actions an Agent performs using some part of his/her body, the Body_part.",Body_movement,ExactMatch,
215,Bounded_entity,,"Bounded_area 
Constituent_parts 
Formational_cause
Name 
Owner
Relative_location",https://sfn.spanishfn.org/FRAMES/frames/Bounded_entity.html,"This is an abstract frame for bounded areas, used mostly for FE inheritance.",Bounded_entity,ExactMatch,
217,Bragging,"alardear.v, fanfarronada.n, fanfarronear.v, gallardear.v, jactancia.n, jactarse.v, pavonearse.v, preciarse.v, presumir.v, vanagloriarse.v
","Expressor
Medium 
Message 
Speaker 
Topic",https://sfn.spanishfn.org/FRAMES/frames/Bragging.html,"A Speaker talks about a Topic, which may be an action performed by the Speaker or an entity or state of affairs that they are associated with in order to suggest that the Speaker is worthy of admiration. The Speaker may give an explicit Reason why the Topic redounds to their credit. Alternatively, a Message frame element can be used to directly describe what the Speaker says, leaving the more specific Reason for admirability to be inferred. Instead of the Speaker, the action may be attributed metonymically to the Medium, or possibly the Expressor.",Bragging,ExactMatch,
221,Breathing,"aspirar.v, inhalar.v, inspirar.v, respirar.v, soplar.v, suspirar.v
",Agent Air,https://sfn.spanishfn.org/FRAMES/frames/Breathing.html,"An Agent causes Air to move in a direction, usually specifying either in or out of the body.",Breathing,ExactMatch,
223,Bringing,"llevar.v, traer.v, transportar.v, trasladar.v
","Agent 
Carrier 
Constant_location 
Goal 
Source 
Theme",https://sfn.spanishfn.org/FRAMES/frames/Bringing.html,"This frame concerns the movement of a Theme and an Agent and/or Carrier. The Agent, a person or other sentient entity, controls the shared Path by moving the Theme during the motion. In other words, the Agent has overall motion in directing the motion of the Theme. The Carrier may be a separate entity, or it may be the Agent's body. The Constant_location may be a subregion of the Agent's body or (a subregion of) a vehicle that the Agent uses.",Bringing,ExactMatch,
231,Businesses,"comercio.n, compañía.n, empresa.n, establecimiento.n, negocio.n, tienda.n
",Business,https://sfn.spanishfn.org/FRAMES/frames/Businesses.html,A Proprietor owns or runs a Business which provides a Product (which may be goods or services).,Businesses,ExactMatch,
246,Categorization,"catalogación.n, catalogar.v, categorización.n, clasificación.n, clasificar.v, considerar.v, creer.v, encontrar.v
","Category 
Cognizer 
Criteria 
Item ",https://sfn.spanishfn.org/FRAMES/frames/Categorization.html,"A Cognizer construes an Item as belonging to a certain Category.  In this process, the Cognizer may either passively perceive the Item and note that it fits the Criteria for a Category, or, alternatively, actively examine the Item for certain Criteria that define a Category (or set of Categorys).",Categorization,ExactMatch,
252,Cause_change,"alteración.n, alterar.v, cambiar.v, cambio.n, conversión.n, convertir.v, modificación.n, modificar.n, transformación.n, transformar.v
","Agent
Attribute 
Cause
Entity 
Final_category
Final_value 
Initial_category 
Initial_value",https://sfn.spanishfn.org/FRAMES/frames/Cause_change.html,"An Agent or Cause causes an Entity to change, either in its category membership or in terms of the value of an Attribute. In the former case, an Initial_category and a Final_category may be expressed, in the latter case an Initial_value and a Final_value can be specified.",Cause_change,ExactMatch,
