id,FrameName,EnglishLexicalUnits,FrenchLexicalUnits,PortugueseLexicalUnits,ChineseLexicalUnits,SpanishLexicalUnits,FrameElements,Link,Definition,LinkToBFN,MatchEvaluation,FrameRelation
,Abundance,"abundance 1,
abundant 1,
rare 1,
rarity 1","abondance 1,
abondant 1,
rare 1",,,,Theme Location,https://olst.ling.umontreal.ca/dicoenviro/framed/index.php?sr=frames&pr=ex&rq=Abundance,The Theme is present in a Location in a specific quantity or amount.,Abundance,WeakMatch,Abundance :See also: Distribution
,Accumulating,"accumulate 1,
accumulation 1,
concentration 1","accumulation 1,
accumuler 1, 
concentration 1",,"浓度 1, 
累积 1","acumulación 1, 
acumular 1",Patient Location,https://olst.ling.umontreal.ca/dicoenviro/framed/index.php?sr=frames&pr=ex&rq=Accumulating,A Patient becomes increasingly present in a Location.,?,NoMatch,Greenhouse_effect :Is perspectivized in: Accumulating
,Adapting,"adapt 1,
adaptation 1","adaptation 1a,
adapter 1a",,适应 1,"adaptación 1a,
adaptar 1a",Patient Cause,https://olst.ling.umontreal.ca/dicoenviro/framed/index.php?sr=frames&pr=ex&rq=Adapting,A Patient evolves in order to deal with a Cause.,?,NoMatch,
,Adding_species_in_location,"introduce 1,
introduction 1,
reintroduce 1,
reintroduction 1","alevinage 1,
introduction 1,
introduire 1,
réintroduction 1,
réintroduire 1,
repeuplement 1",,,,Agent Theme Destination,https://olst.ling.umontreal.ca/dicoenviro/framed/index.php?sr=frames&pr=ex&rq=Adding_species_in_location,An Agent places a Theme in a Destination where the Theme used to live in attempt to restore the Theme.,?,NoMatch,"Adding_species_in_location :Is causative of: Species_colonization
Species_colonization :Is inchoative of: Adding_species_in_location 
Adding_species_in_location :Is inherited by: Relocating
Adding_species_in_location :See also: Adding_trees_in_location
"
,Adding_trees_in_location,,,,,,Agent Patient Destination,https://olst.ling.umontreal.ca/dicoenviro/framed/index.php?sr=frames&pr=ex&rq=Adding_trees_in_location,,?,NoMatch,"Adding_trees_in_location :Is perspectivized in: Convering_area_with_trees
Adding_trees_in_location :Is perspectivized in: Covering_area_with_trees
Adding_trees_in_location :Is subframe of: Forestry
Adding_species_in_location :See also: Adding_trees_in_location
Adding_trees_in_location :Is perspectivized in:  Planting_trees"
,Aging,mature 2,atteindre un/une maturité,,,,Theme,https://olst.ling.umontreal.ca/dicoenviro/framed/index.php?sr=frames&pr=ex&rq=Aging,A Theme is undergoing a change in age typically associated with some deterioration or change in state.,Aging,ExactMatch,"Aging :Is subframe of: Cycle_of_life_and_death
Ontogeny :Precedes: Aging
Aging :See also: Animal_by_development


"
,Agriculture,"agriculture 1,
farm 2,
farming 1",agriculture 1,,,,Agent Patient Environment,https://olst.ling.umontreal.ca/dicoenviro/framed/index.php?sr=frames&pr=ex&rq=Agriculture,The Agent places or takes care of the Patient in an Environment so that the Patient can grow and later be collected for a specific use.,Agriculture,ExactMatch,"Agriculture :Is subframe of: Using_resource
Breeding :Is subframe of: Agriculture
Growing_food :Is subframe of: Agriculture"
,Ambient_temperature,"cold 1,
cool 2,
temperature 1,
warm 2","froid 1,
température 1,
tempéré 1",,,,Patient,https://olst.ling.umontreal.ca/dicoenviro/framed/index.php?sr=frames&pr=ex&rq=Ambient_temperature,The temperature of a Patient.,Ambient_temperature,TooGeneral,"Cause_temperature_change :Is causative of: Ambient_temperature 
Ambient_temperature: See also: Change_of_temperature"
,Animal_by_activity,predator 1,"pollinisateur 2,
prédateur 1,
rapace 1,
ravageur 2",,,,Agent Patient,https://olst.ling.umontreal.ca/dicoenviro/framed/index.php?sr=frames&pr=ex&rq=Animal_by_activity,,?,NoMatch,"Animal_by_behavior :Is inherited by: Animal_by_activity
"
,Animal_by_behavior,"breeding 2,
rodent 1","migrateur 1,
migrateur 2,
reproducteur 1,
reproducteur 3",,,,Agent,https://olst.ling.umontreal.ca/dicoenviro/framed/index.php?sr=frames&pr=ex&rq=Animal_by_behavior,An Agent is a species defined according to a typical behavior or activity.,?,NoMatch,"Animal_by_behavior :Is inherited by: Animal_by_activity
Animal :Is inherited by: Animal_by_behavior
"
,Animal_by_development,"adult 1,
adult 2,
hatchling 1,
immature 1,
juvenile 1,
juvenile 2,
mature 1,
maturity 1,
young 1,
young 2","adulte 1,
adulte 2,
immature 1,
jeune 1,
jeune 2,
juvénile 1,
mature 1,
maturité 1",,,,Theme,https://olst.ling.umontreal.ca/dicoenviro/framed/index.php?sr=frames&pr=ex&rq=Animal_by_development,"The stage in which a Theme finds itself in terms of the evolution of its life, especially with respect of its ability to reproduce.",?,NoMatch,"Animals :Is inherited by: Animal_by_development
Aging :See also: Animal_by_development "
,Animal_by_family,,,,,,Agent Patient,https://olst.ling.umontreal.ca/dicoenviro/framed/index.php?sr=frames&pr=ex&rq=Animal_by_family,,?,NoMatch,"Animal_by_relation :Is inherited by: Animal_by_family 
Animal_by_family :Is perspectivized in: Baby_animal
Animal_by_family :Is perspectivized in: Reproducing_animal"
,Animal_by_relation,,,,,,Agent Patient,https://olst.ling.umontreal.ca/dicoenviro/framed/index.php?sr=frames&pr=ex&rq=Animal_by_relation,,?,NoMatch,Animal_by_relation :Is inherited by: Animal_by_family 
,Animals,"animal 1,
bald eagle 1,
bird 1,
black-footed ferret 1,
eagle 1,
fish 1,
gray wolf 1,
lion 1,
Peregrine falcon 1,
snake 1,
turtle 1,
wolf 1","animal 1,
baleine 1,
caribou 1,
dauphin 1,
éléphant 1,
épaulard 1,
insecte 1,
oiseau 1,
ours blanc 1,
ours 1,
phoque 1,
poisson 1,
tigre 1,
tortue des bois 1,
tortue géographique 1,
tortue molle à épines 1,
tortue serpentine 1,
tortue 1",animal 1,动物 1,,,https://olst.ling.umontreal.ca/dicoenviro/framed/index.php?sr=frames&pr=ex&rq=Animals,A biological entity that belongs to the kingdom of animals (as opposed to that of plants).,Animals,ExactMatch,"Animals :Is inherited by: Animal_by_behavior
Animals :Is inherited by: Animal_by_development
Biological_entity :Is inherited by: Animals
Animals :Is inherited by: Baby_animal
Animals :Is inherited by: Reproducing_animal
Animals :See also: Species_activity 
"
,Assessing,"assess 1b,
assessment 1",,,评估 1,,Agent Patient Method,https://olst.ling.umontreal.ca/dicoenviro/framed/index.php?sr=frames&pr=ex&rq=Assessing,An Agent examines a Patient with a Method in order to give a fairly accurate description of value or the state the Patient.,Assessing,ExactMatch,Assessing :See also: Estimating
,Attaching,"connect 1b,
plug in 1b","branchement 1,
brancher 1b",,,,Agent Patient Destination,https://olst.ling.umontreal.ca/dicoenviro/framed/index.php?sr=frames&pr=ex&rq=Attaching,An Agent causes a Patient to be physically connected to a Destination.,Attaching,ExactMatch,"Attaching :Is causative of: Becoming_attached
Attaching :Precedes: Filling"
,Baby_animal,"chick 1,
cub 1,
offspring 1",petit 1,,,,Patient Agent,https://olst.ling.umontreal.ca/dicoenviro/framed/index.php?sr=frames&pr=ex&rq=Baby_animal,The child of an Agent that is an animal.,?,NoMatch,"Animals :Is inherited by: Baby_animal
Animal_by_family :Is perspectivized in: Baby_animal"
,Balancing,"stabilization 1a,
stabilize 1a","stabilisation 1a,
stabiliser 1a",,,,Patient,https://olst.ling.umontreal.ca/dicoenviro/framed/index.php?sr=frames&pr=ex&rq=Balancing,The Patient remains in a given state.,?,NoMatch,"Cause_balance :Is causative of: Balancing
Balancing: Is inchoative of: Cause_balance"
,Become_contaminated,acidify 1a,acidifier 1a,,,,Destination Material,https://olst.ling.umontreal.ca/dicoenviro/framed/index.php?sr=frames&pr=ex&rq=Become_contaminated,A Destination is being imbued by a Material to the point that the Material alters the composition of the Destination.,?,NoMatch,"Cause_contamination :Is causative of: Become_contaminated
Become_contaminated :Is inchoative of: Contamination
Become_contaminated :Is inchoative of: Cause_contamination
Contamination :Is causative of: Become_contaminated"
,Become_rejuvenated,recover 3a,rétablir 1a,,,,Patient,https://olst.ling.umontreal.ca/dicoenviro/framed/index.php?sr=frames&pr=ex&rq=Become_rejuvenated,,?,NoMatch,"Ceasing_to_be :Precedes: Become_rejuvenated
Become_rejuvenated :Is subframe of: Cycle_of_existence_scenario
Become_rejuvenated :Is inchoative of: Rejuvenation
Rejuvenation :Is causative of: Become_rejuvenated"
,Becoming_filled,charge 1a,"charger 1a,
recharger 1a,
stockage 2,
stocker 2a",,,,Destination Means,https://olst.ling.umontreal.ca/dicoenviro/framed/index.php?sr=frames&pr=ex&rq=Becoming_filled,A Destination becomes filled with a Means.,?,NoMatch,"Filling :Is causative of: Becoming_filled
Becoming_filled :Is inchoative of: Filling
Becoming_filled :Precedes: Make_use_of_energy"
,Being_at_risk,"endangerment 1,
sensitivity 1,
threatened 1,
vulnerability 1,
vulnerable 1","menacé 1,
sensible 1,
vulnérable 1",,,amenazado 1,Patient Cause,https://olst.ling.umontreal.ca/dicoenviro/framed/index.php?sr=frames&pr=ex&rq=Being_at_risk,A Patient is in a state where it is exposed to or otherwise liable to be affected by a Cause.,Being_at_risk,ExactMatch,"Being_at_risk :See also: Run_risk
Being_at_risk :See also: Ceasing_to_be 
Endangering :Is causative of: Being_at_risk
Risk_scenario :Is perspectivized in: Being_at_risk "
,Being_born,"birth 1,
hatch 1","éclore 1,
éclosion 1,
naissance 1,
naître 1",,,,Patient,https://olst.ling.umontreal.ca/dicoenviro/framed/index.php?sr=frames&pr=ex&rq=Being_born,The beginning of the life of a Patient at a particular time and place.,Being_born,ExactMatch,"Birth_scenario :Is perspectivized in: Being_born
Being_born :Precedes: Ontogeny
Being_born :Is subframe of: Cycle_of_life_and_death"
,Being_contaminated,"acidified 1,
contaminated 1,
polluted 1","acidifié 1,
contaminé 1,
pollué 1",,,,Destination Material,https://olst.ling.umontreal.ca/dicoenviro/framed/index.php?sr=frames&pr=ex&rq=Being_contaminated,A Destination is imbued by a Material to the point that the Material alters the composition of the Destination.,?,NoMatch,
