id,FrameName,English,French,German,Spanish,Portuguese,Arabic,Chinese,Swedish
1,Abandonment,"abandon.v, forget.v, abandoned.a, neglect.v, abandonment.n, leave.v",laisser.v,"vergessen.v, lassen.v, sich trennen (von).v, aufgeben.v, aussetzen.v, sich lösen (von).v, verlassen.v","abandonado.a, abandono.n, olvidar.n, dejar.v, abandonar.v","botar de lado.v, deixar.v, deixar quieto.v, abandonado.a, abandono.n, esquecido.a, negligenciar.v, esquecer.v, abandonar.v",,,överge.v
2,Abounding_with,"drizzled.a, tiled.a, chock-full.a, lacquered.a, littered.a, overcrowded.a, stuffed.a, teem.v, filled.a, hung.a, lined.a, jammed.a, dusted.a, decked.a, piled.a, blanketed.a, ornamented.a, crammed.a, cloaked.a, glazed.a, jostling.a, chock-a-block.a, studded.a, coated.a, smeared.a, swarm.v, adorned.a, crowded.a, draped.a, bespattered.a, paved.a, dabbed.a, thronging.a, splattered.a, rife.a, panelled.a, strewn.a, surfaced.a, thronged.a, plastered.a, bejewelled.a, spattered.a, swarming.a, wallpapered.a, varnished.a, heaped.a, asphalted.a, crawling.a, injected.a, throng.v, brushed.a, full.a, festooned.a, brimming.a, bedecked.a, gilded.a, painted.a, decorated.a, sprinkled.a, teeming.a, embellished.a, overfilled.a, replete.a, covered.a, crawl.v, buttered.a, dotted.a",bondé.a,,,"cheio.a, espalhado.a, aglomerar.v, enfeitado.a, asfaltado.a, escovado.a, lacado.a, regado.a, amontoado.a, ornamentado.a, respingado.a, empilhado.a, salpicado.a, preenchido.a, manchado.a, aglomerado.a, bombar.v, dourado.a, adornado.a, injetado.a, pintado.a, amanteigado.a, decorado.a, proliferar.v, recheado.a, abundante.a, borrifado.a, enriquecer.v, populacional.a, populoso.a, coberto.a, pleno.a, encasacado.a, rebocado.a, encapotado.a, rastejante.a, esparso.a, empoeirado.a, envernizado.a, abarrotado.a, embelezado.a, aspergido.a, inesgotável.a, encoberto.a, esmaltado.a, pavimentado.a, superlotado.a, emperrado.a, engatinhar.v, desarrumado.a, lotado.a, drapeado.a, forrado.a, polvilhado.a, repleto.a, ladrilhado.a, pontilhado.a, pendurado.a",,,
3,Absorb_heat,"singe.v, roast.v, simmer.v, blanch.v, toast.v, brown.v, boil.v, poach.v, scorch.v, barbecue.v, parboil.v, char.v, braise.v, saute.v, deep fry.v, sear.v, steam.v, sizzle.v, fry.v, grill.v, bake.v, coddle.v, cook.v, broil.v, stew.v",,"brutzeln.v, köcheln.v, braten.v, sieden.v, backen.v, kochen.v",,"branquear.v, ferver.v, assar.v, dourar.v, fritar.v, borbulha.n, refogar.v, ferventar.v, grelhar.v, cozinhar.v",,,sjuda.v
4,Abundance,"abundance.n, galore.a, rarity.n, teem.v, abundant.a, rare.a, rich.a, abound.v","abondance.n, abondant.v, rare.n","unzählig.a, wimmeln.v, so weit das Auge reicht.m, in Hülle und Fülle.m","abundar.v, abundante.a, rico.a","abundar.v, pleno.a, abundante.a, rico.a, vazio.a, -, farto.a",,,
5,Abusing,"abusive.a, batter.v, abuse.n, domestic violence.n, maltreat.v, abuse.v, maltreatment.n",,"misshandeln.v, schlagen.v, Missbrauch.n, missbrauchen.v",,"perseguir.v, abusar.v, ameaçado.a, manipulação.n, alienação parental.n, assediar.v, abalar.v, controlar.v, exploração sexual.n, maus-tratos.n, abuso.n, abusivo.a",,,"misshandel.n, förgripa sig.v"
6,Access_scenario,"abundance.n, , rarity.n, abundant.a, rare.a",,,,,,,
7,Accident,", accident.n, mishap.n, crash.n, mishappening.n, wreck.n",,,,acidente.n,,,
8,Accident_description,,,,,elétrico.a,,,
9,Accommodation,", love hotel.n, auberge.n, lodging.n, saloon.n, accommodation.n, B&B.n, condominium complex.n, inn.n, hostel.n, encampment.n, camping.n, hotel.n, ranch.n, resort hotel.n, guesthouse.n, guest.n, lodge.n, camping area.n, bungalow.n, townhouse complex.n, hotel management.n, campground.n, motel.n, countryside hotel.n, smallholding.n, chacra.n, bed and breakfast.n, apartment building.n, vacation property.n, guest house.n, hostelry.n, tavern.n, resort.n","abitation.n, appartement.n, auberge.n, auberges de jeunesse.n, chalet.n, chambre de hôtes.n, cottage.n, emplacement de camping.n, ferme.n, hébergement.n, hôtel.n, hôtellerie.n, lieu de vacances.n, maison.n, motel.n, pension.n, résidence secondaire.n, station balnéaire.n",,"de, bed, posadero.n, acampada.n, edificios.n, hotelero.n, del, huésped.n, hospedaje, granja.n, lugar, edificio, hostal.n, hostelería.n, vacaciones.n, rancho.n, chácara.n, departamento.n, albergue.n, piso.n, alojamiento.n, vivac.n, condominio.n, hotel, amor.n, pensión.n, bungalo.n, resort.n, campamento.n, and, casa.n, casa, estudiantil.n, apartamentos.n, rural.n, bungaló.n, motel.n, camping.n, complejo, apartamento.n, breakfast.n, chalé.n, bungalow.n, viviendas.n, acampada.n, posada.n, hotel.n, cambuche.n","granja.n, pousada.n, rancho.n, bangalô.n, chácara.n, hotelaria.n, pensão.n, estância.n, albergue.n, hóspede.n, apart-hotel.n, acomodação.n, resort.n, casa.n, hospedagem domiciliar.n, motel.n, camping.n, hotel fazenda.n, sítio.n, apartamento.n, hospedagem.n, chalé.n, alojamento.n, cafofo.n, complexo residencial.n, acampamento.n, hostel.n, casa de férias.n, hotel.n, complexo de condomínio.n",,,
10,Accompaniment,"in combination.prep, individual.a, along with.prep, accompany.v, with.prep, alone.a, together.adv, singly.adv",,,,"unido.a, com.adv, a sós.idio, junto.a, só.a, sozinho.a, com.prep, companhia.n, individual.a, com.c, juntar.v, anexo.a, acompanhar.v, desacompanhar.v",,,"medtill och med:24.adv, tillsammans.adv, medtill och med:3.adv, medtill och med:4.adv, medtill och med:15.adv"
11,Accomplishment,"accomplishment.n, bring about.v, achievement.n, achieve.v, accomplish.v, effect.v","arriver.v, réalisation.n",,,"realização.n, o.adv, conquista.n, alcançar.v",,,"genomföra.v, uppnå.v, åstadkomma.v, verkställa.v"
12,Accoutrements,"chain.n, wig.n, bracelet.n, ring.n, top-hat.n, bonnet.n, accoutrement.n, shako.n, turban.n, toupee.n, jewellery.n, nightcap.n, helm.n, diadem.n, hairslide.n, spectacles.n, watch.n, trinket.n, hauberk.n, mask.n, mitre.n, pendant.n, hat.n, sash.n, fez.n, biretta.n, locket.n, bangle.n, goggles.n, hairnet.n, earring.n, coif.n, medal.n, headpiece.n, mantle.n, armlet.n, balaclava.n, headband.n, cap.n, gas mask.n, beret.n, brooch.n, greaves.n, trilby.n, necklace.n, glasses.n, panama.n, regalia.n, circlet.n, hairpiece.n, medallion.n, belt.n, crown.n, sporran.n, anklet.n, veil.n, sombrero.n, headdress.n, hairgrip.n, bandanna.n, cufflink.n, ribbon.n, hat-pin.n, snood.n, armband.n, gorget.n, yarmulkah.n, helmet.n, boater.n, tiara.n, coronet.n, skullcap.n, choker.n, hairband.n, badge.n, hairpin.n, bowler.n",,"Brosche.n, Helm.n, Ring.n, Schmuck.n, Perücke.n, Diadem.n, Kappe.n, Hut.n, Uhr.n, Brille.n",,"peruca.n, luva.n, óculos.n, colar.n, cinto.n, broche.n, aliança.n, fita.n, máscara.n, brinco.n, coroa.n, carteira.n, cordão.n, bolsa.n",,,"örhänge.n, pärlhalsband.n, skärp.n, länk.n, hängsle.n, hatt.n, smycke.n, vigselring.n, glasögaglasögon.n, brillor.n"
13,Accumulating,", accumulate.v, concentration.n, accumulation.n","accumulation.n, accumuler.v",,,,,浓度.v,
14,Accuracy,"accurately.adv, TRUE.a, true.a, inaccuracy.n, exact.a, inaccurate.a, on.prep, precise.a, inaccurately.adv, off.prep, accuracy.n, accurate.a, precision.n","même.adv, réel.a",,,"icônico.a, exatamente.adv, exato.a, precisão.n",,,"exakt.adv, jämn.a, precision.n, jämn.adv, exakt.a"
15,Achieving_first,"discover.v, coinage.n, invention artifact.n, inventor.n, corny.a, pioneering.a, innovator.n, find.v, invent.v, invention.n, originate.v, innovation.n, pioneer.v, originator.n, pioneer.n, original.a, discoverer.n, coin.v, discovery.n, innovate.v","innovation.n, inventer.v","erfinden.v, finden.v, entdecken.v","inventar.v, , invento_(event).n, inventor.n, descubridor.n, invento(event).n, descubridor.n, descubrimiento.n, invento(entity).n, descubrir.v, invento_(entity).n",mãe.n,,,"upptäcka.v, uppfinning.n, upptäckare.n, upphovsman.n, upptäckt.n, uppfinna.v"
16,Active_substance,"incapacitant.n, active.a, agent.n, irritant.n, causative agent.n, bioactive.a",,,,"dar.v, acidar.v, aplicador.a, inibidor.a, livrar.v, conservante.a, livremente.adv, da.adv, livre.a, antimicrobiano.a, do.c, de.adv, ácido.a, agente.a",,,
17,Activity,", activity.n, interact.v",,,,"pique-esconde.n, sensação.n, brincar.v, jogar.v, brincadeira.n, divertimento.n, meditar.v, postar.v, atividade.n, guerrinha.n",,,
18,Activity_abandoned_state,,,,,,,,
19,Activity_done_state,"finished.a, through.a, done.a",,"fertigstellen.v, fertig.a",,,,,"klar.adv, färdig.a, klar.a"
20,Activity_finish,"complete.v, conclude.v, finish.v, tie up.v, wrap up.v, completion.n, graduate.v",,"Absolvierung.n, beenden.v, beschließen.v, aufhören.v, enden.v, abschließen.v",,"desistir.v, formar.v, acabar.v, abdicar.v, concluir.v, passar.v",,,"slutföra.v, fullborda.v"
21,Activity_learning,,,,,"entender.v, autoatividade.n, aprendizagem.n, aprendizado.n, aprender.v, clube.n, protagonismo.n, compreensão.n, socializar.v",,,
